model,MAE,RMSE,R2,train_time_s
Gradient Boosting,2032.1321770639197,8635.705495461776,0.8559844797928817,23.163440704345703
HistGradientBoosting (tuned),2124.1863468447714,11109.231686508485,0.7616683609723311,
Random Forest,2143.525079762976,9243.211865151176,0.8350092994220932,22.770323276519775
HistGradientBoosting,2204.431831548484,11874.993415926881,0.7276794558157408,4.690811395645142
Lasso,4766.607318874755,38332.305927714544,-1.8375501273651849,0.02800130844116211
Ridge,5099.665162795291,51774.57376639721,-4.176625123791257,0.11751699447631836
Linear Regression,5103.627281669564,51888.63387546841,-4.199458602238373,0.0517573356628418
Baseline (mean),6788.234447738791,23315.864581465743,-0.049824490385018905,0.0009987354278564453
