model,Accuracy,Precision_macro,Recall_macro,F1_macro,ROC_AUC_ovr,train_time_s
Random Forest,0.7916666666666666,0.8013554494850451,0.787097526484588,0.7935552559100113,0.9230276344204863,3.4314067363739014
Gradient Boosting,0.7923333333333333,0.7965838549825821,0.7894876821427301,0.7928261035026783,0.9262240673973218,54.94703936576843
Logistic Regression,0.79,0.7971499334657149,0.7870635648876192,0.791758535604986,0.925441734114859,0.3428020477294922
Decision Tree,0.7506666666666667,0.7540474724005263,0.7509192734204465,0.7524454492770635,0.8835172344460757,0.10183453559875488
Baseline (prior),0.4593333333333333,0.15311111111111111,0.3333333333333333,0.20983706410842087,0.5,0.0035927295684814453
