model,MAE,RMSE,R2,train_time_s
Gradient Boosting,0.79600009278046,0.9935273066354486,0.6940397618206912,15.376671075820923
Linear Regression,0.8027471530224892,0.9994823905909884,0.6903609914939793,0.011998891830444336
Ridge,0.8027737536935613,0.9995056547998555,0.6903465768520198,0.0029997825622558594
Random Forest,0.8045754656271255,1.0024727347387992,0.688505406356718,8.675578832626343
HistGradientBoosting,0.8091888339188349,1.0064082352466073,0.6860548790186733,2.877016544342041
Baseline (mean),1.4508780370370369,1.7968671584159546,-0.0007770017667607654,0.0
